date,Occupancy,
Jan 1 2000,73    ,
Feb 1 2000,73    ,
Mar 1 2000,71    ,
Apr 1 2000,73    ,
May 1 2000,67    ,
Jun 1 2000,58    ,
Jul 1 2000,61    ,
Aug 1 2000,71    ,
Sep 1 2000,73    ,
Oct 1 2000,77    ,
Nov 1 2000,80    ,
Dec 1 2000,69    ,
Jan 1 2001,74    ,
Feb 1 2001,67    ,
Mar 1 2001,68    ,
Apr 1 2001,66    ,
May 1 2001,64    ,
Jun 1 2001,50    ,
Jul 1 2001,55    ,
Aug 1 2001,62    ,
Sep 1 2001,68    ,
Oct 1 2001,70    ,
Nov 1 2001,73    ,
Dec 1 2001,69    ,
Jan 1 2002,71    ,
Feb 1 2002,69    ,
Mar 1 2002,75    ,
Apr 1 2002,62    ,
May 1 2002,67    ,
Jun 1 2002,50    ,
Jul 1 2002,59    ,
Aug 1 2002,63    ,
Sep 1 2002,69    ,
Oct 1 2002,76    ,
Nov 1 2002,76    ,
Dec 1 2002,70    ,
Jan 1 2003,68    ,
Feb 1 2003,66    ,
Mar 1 2003,63    ,
Apr 1 2003,63    ,
May 1 2003,62    ,
Jun 1 2003,49    ,
Jul 1 2003,53    ,
Aug 1 2003,61    ,
Sep 1 2003,63    ,
Oct 1 2003,68    ,
Nov 1 2003,70    ,
Dec 1 2003,68    ,
Jan 1 2004,69    ,
Feb 1 2004,64    ,
Mar 1 2004,66    ,
Apr 1 2004,63    ,
May 1 2004,59    ,
Jun 1 2004,47    ,
Jul 1 2004,52    ,
Aug 1 2004,58    ,
Sep 1 2004,64    ,
Oct 1 2004,70    ,
Nov 1 2004,74    ,
Dec 1 2004,68    ,
Jan 1 2005,73    ,
Feb 1 2005,65    ,
Mar 1 2005,64    ,
Apr 1 2005,56    ,
May 1 2005,55    ,
Jun 1 2005,45    ,
Jul 1 2005,54    ,
Aug 1 2005,64    ,
Sep 1 2005,63    ,
Oct 1 2005,68    ,
Nov 1 2005,78    ,
Dec 1 2005,74    ,
Jan 1 2006,81    ,
Feb 1 2006,76    ,
Mar 1 2006,60    ,
Apr 1 2006,58    ,
May 1 2006,51    ,
Jun 1 2006,45    ,
Jul 1 2006,56    ,
Aug 1 2006,69    ,
Sep 1 2006,67    ,
Oct 1 2006,73    ,
Nov 1 2006,78    ,
Dec 1 2006,79    ,
Jan 1 2007,86    ,
Feb 1 2007,82    ,
Mar 1 2007,77    ,
Apr 1 2007,75    ,
May 1 2007,71    ,
Jun 1 2007,59    ,
Jul 1 2007,71    ,
Aug 1 2007,74    ,
Sep 1 2007,75    ,
Oct 1 2007,78    ,
Nov 1 2007,83    ,
Dec 1 2007,80    ,
Jan 1 2008,82    ,
Feb 1 2008,78    ,
Mar 1 2008,77    ,
Apr 1 2008,72    ,
May 1 2008,66    ,
Jun 1 2008,49    ,
Jul 1 2008,61    ,
Aug 1 2008,65    ,
Sep 1 2008,65    ,
Oct 1 2008,71    ,
Nov 1 2008,69    ,
Dec 1 2008,69    ,
Jan 1 2009,69    ,
Feb 1 2009,60    ,
Mar 1 2009,59    ,
Apr 1 2009,59    ,
May 1 2009,58    ,
Jun 1 2009,45    ,
Jul 1 2009,51    ,
Aug 1 2009,59    ,
Sep 1 2009,62    ,
Oct 1 2009,65    ,
Nov 1 2009,69    ,
Dec 1 2009,70    ,
Jan 1 2010,72    ,
Feb 1 2010,67    ,
Mar 1 2010,64    ,
Apr 1 2010,61    ,
May 1 2010,61    ,
Jun 1 2010,47    ,
Jul 1 2010,54    ,
Aug 1 2010,60    ,
Sep 1 2010,65    ,
Oct 1 2010,69    ,
Nov 1 2010,74    ,
Dec 1 2010,75    ,
Jan 1 2011,75    ,
Feb 1 2011,68    ,
Mar 1 2011,64    ,
Apr 1 2011,64    ,
May 1 2011,55    ,
Jun 1 2011,44    ,
Jul 1 2011,53    ,
Aug 1 2011,57    ,
Sep 1 2011,64    ,
Oct 1 2011,68    ,
Nov 1 2011,74    ,
Dec 1 2011,73    ,
Jan 1 2012,74    ,
Feb 1 2012,67    ,
Mar 1 2012,65    ,
Apr 1 2012,62    ,
May 1 2012,59    ,
Jun 1 2012,45    ,
Jul 1 2012,52    ,
Aug 1 2012,56    ,
Sep 1 2012,60    ,
Oct 1 2012,67    ,
Nov 1 2012,69    ,
Dec 1 2012,71    ,
Jan 1 2013,67    ,
Feb 1 2013,66    ,
Mar 1 2013,63    ,
Apr 1 2013,60    ,
May 1 2013,58    ,
Jun 1 2013,42    ,
Jul 1 2013,53    ,
Aug 1 2013,60    ,
Sep 1 2013,65    ,
Oct 1 2013,71    ,
Nov 1 2013,74    ,
Dec 1 2013,73    ,
Jan 1 2014,72    ,
Feb 1 2014,67    ,
Mar 1 2014,64    ,
Apr 1 2014,65    ,
May 1 2014,59    ,
Jun 1 2014,46    ,
Jul 1 2014,54    ,
Aug 1 2014,62    ,
Sep 1 2014,64    ,
Oct 1 2014,71    ,
Nov 1 2014,76    ,
Dec 1 2014,74    ,
Jan 1 2015,75    ,
Feb 1 2015,75    ,
Mar 1 2015,68    ,
Apr 1 2015,68    ,
May 1 2015,66    ,
Jun 1 2015,51    ,
Jul 1 2015,61    ,
Aug 1 2015,66    ,
Sep 1 2015,70    ,
Oct 1 2015,74    ,
Nov 1 2015,79    ,
Dec 1 2015,78    ,
Jan 1 2016,78    ,
Feb 1 2016,76    ,
Mar 1 2016,74    ,
