Date,NumTourists
Jan 1 1990,27950
Feb 1 1990,19520
Mar 1 1990,19630
Apr 1 1990,25570
May 1 1990,23210
Jun 1 1990,17990
Jul 1 1990,22180
Aug 1 1990,31420
Sep 1 1990,23190
Oct 1 1990,26940
Nov 1 1990,24300
Dec 1 1990,29650
Jan 1 1991,28620
Feb 1 1991,18110
Mar 1 1991,23640
Apr 1 1991,22540
May 1 1991,23790
Jun 1 1991,18710
Jul 1 1991,23400
Aug 1 1991,33410
Sep 1 1991,21530
Oct 1 1991,27600
Nov 1 1991,26600
Dec 1 1991,32720
Jan 1 1992,33760
Feb 1 1992,23220
Mar 1 1992,22400
Apr 1 1992,30630
May 1 1992,23800
Jun 1 1992,21930
Jul 1 1992,26270
Aug 1 1992,33270
Sep 1 1992,23370
Oct 1 1992,29820
Nov 1 1992,30760
Dec 1 1992,36170
Jan 1 1993,38910
Feb 1 1993,25920
Mar 1 1993,24170
Apr 1 1993,32580
May 1 1993,28250
Jun 1 1993,20880
Jul 1 1993,30320
Aug 1 1993,38450
Sep 1 1993,26750
Oct 1 1993,33040
Nov 1 1993,35400
Dec 1 1993,39960
Jan 1 1994,41757
Feb 1 1994,27268
Mar 1 1994,31738
Apr 1 1994,30350
May 1 1994,30685
Jun 1 1994,22537
Jul 1 1994,32211
Aug 1 1994,40319
Sep 1 1994,28605
Oct 1 1994,39139
Nov 1 1994,35037
Dec 1 1994,40880
Jan 1 1995,42528
Feb 1 1995,26587
Mar 1 1995,33038
Apr 1 1995,34428
May 1 1995,30607
Jun 1 1995,23177
Jul 1 1995,33833
Aug 1 1995,42985
Sep 1 1995,28928
Oct 1 1995,40620
Nov 1 1995,39437
Dec 1 1995,46295
Jan 1 1996,42743
Feb 1 1996,30870
Mar 1 1996,41736
Apr 1 1996,38759
May 1 1996,36303
Jun 1 1996,27984
Jul 1 1996,35656
Aug 1 1996,50347
Sep 1 1996,36681
Oct 1 1996,45930
Nov 1 1996,46130
Dec 1 1996,53728
Jan 1 1997,50507
Feb 1 1997,37254
Mar 1 1997,46923
Apr 1 1997,38683
May 1 1997,39794
Jun 1 1997,32165
Jul 1 1997,39716
Aug 1 1997,55033
Sep 1 1997,39694
Oct 1 1997,45302
Nov 1 1997,55424
Dec 1 1997,55630
Jan 1 1998,54839
Feb 1 1998,41928
Mar 1 1998,48440
Apr 1 1998,45433
May 1 1998,43790
Jun 1 1998,30387
Jul 1 1998,40700
Aug 1 1998,54651
Sep 1 1998,39228
Oct 1 1998,49090
Nov 1 1998,52563
Dec 1 1998,57146
Jan 1 1999,59680
Feb 1 1999,41859
Mar 1 1999,50707
Apr 1 1999,41536
May 1 1999,42254
Jun 1 1999,35910
Jul 1 1999,42862
Aug 1 1999,57321
Sep 1 1999,41383
Oct 1 1999,55128
Nov 1 1999,56584
Dec 1 1999,52861
Jan 1 2000,62355
Feb 1 2000,50466
Mar 1 2000,54872
Apr 1 2000,56353
May 1 2000,49960
Jun 1 2000,39885
Jul 1 2000,51577
