Country,Year,Arrivals
Austria,2013,7932
Belgium,2013,11562
Bulgaria,2013,597
Czech Republic,2013,5545
Croatia,2013,291
Denmark,2013,3280
Estonia,2013,256
Finland,2013,1864
France,2013,244737
Germany,2013,60433
Greece,2013,831
Hungary,2013,820
Ireland,2013,1806
Italy,2013,31145
Latvia,2013,328
Lithuania,2013,361
Luxembourg,2013,1007
Netherlands,2013,4498
Norway,2013,3083
Poland,2013,2998
Portugal,2013,1619
Romania,2013,1219
Serbia,2013,297
Slovakia,2013,1580
Slovenia,2013,688
Spain,2013,8428
Sweden,2013,4576
Switzerland,2013,27751
Turkey,2013,705
United Kingdom,2013,97963
Belarus,2013,427
Kazakhstan,2013,207
Russia,2013,14903
Ukraine,2013,1876
Comoros,2013,1147
Madagascar,2013,13941
Seychelles,2013,7183
Algeria,2013,216
Angola,2013,505
Benin,2013,68
Botswana,2013,666
Burundi,2013,80
Cameroon,2013,159
Congo,2013,411
Egypt,2013,514
Ethiopia,2013,334
Gabon,2013,265
Ghana,2013,435
Ivory coast,2013,208
Kenya,2013,2865
Lesotho,2013,145
Malawi,2013,233
Mayotte,2013,1088
Morocco,2013,445
Mozambique,2013,698
Namibia,2013,1237
Niger,2013,98
Nigeria,2013,907
Rwanda,2013,151
Senegal,2013,179
South Africa,2013,94137
Sudan,2013,90
Tanzania,2013,625
Togo,2013,41
Tunisia,2013,399
Uganda,2013,533
Zimbabwe,2013,1526
Zambia,2013,899
Afghanistan,2013,662
Bangladesh,2013,525
Hong Kong,2013,1449
India,2013,57253
Indonesia,2013,1835
Israel,2013,552
Japan,2013,1754
Korea,2013,2776
Malaysia,2013,3172
Maldives,2013,48
Nepal,2013,180
Pakistan,2013,994
China,2013,41909
Philippines,2013,1797
Singapore,2013,2110
Sri Lanka,2013,492
Taiwan,2013,1592
Thailand,2013,330
Vietnam,2013,541
Bahrain,2013,181
Iran,2013,221
Jordan,2013,184
Kuwait,2013,279
Lebanon,2013,441
Oman,2013,235
Qatar,2013,362
Saudi Arabia,2013,2136
United Arab Emirates,2013,8159
Australia,2013,18340
New Zealand,2013,668
Brazil,2013,2894
Canada,2013,4426
USA,2013,5741
Austria,2014,8303
Belgium,2014,11465
Bulgaria,2014,700
Czech Republic,2014,6852
Croatia,2014,320
Denmark,2014,3446
Estonia,2014,282
Finland,2014,2618
France,2014,243655
Germany,2014,62212
Greece,2014,755
Hungary,2014,1022
Ireland,2014,2284
Italy,2014,29553
Latvia,2014,276
Lithuania,2014,352
Luxembourg,2014,1227
Netherlands,2014,4795
Norway,2014,3020
Poland,2014,3548
Portugal,2014,2095
Romania,2014,1074
Serbia,2014,246
Slovakia,2014,2065
Slovenia,2014,698
Spain,2014,8632
Sweden,2014,6452
Switzerland,2014,29273
Turkey,2014,698
United Kingdom,2014,115239
Belarus,2014,483
Kazakhstan,2014,241
Russia,2014,13287
Ukraine,2014,1975
Comoros,2014,938
Madagascar,2014,13038
Seychelles,2014,6926
Algeria,2014,574
Angola,2014,570
Benin,2014,48
Botswana,2014,758
Burundi,2014,100
Cameroon,2014,205
Congo,2014,396
Egypt,2014,412
Ethiopia,2014,231
Gabon,2014,191
Ghana,2014,434
Ivory coast,2014,256
Kenya,2014,3266
Lesotho,2014,177
Malawi,2014,260
Mayotte,2014,1042
Morocco,2014,458
Mozambique,2014,806
Namibia,2014,1393
Niger,2014,105
Nigeria,2014,792
Rwanda,2014,137
Senegal,2014,164
South Africa,2014,93075
Sudan,2014,105
Tanzania,2014,529
Togo,2014,51
Tunisia,2014,424
Uganda,2014,482
Zimbabwe,2014,1735
Zambia,2014,891
Afghanistan,2014,687
Bangladesh,2014,563
Hong Kong,2014,1454
India,2014,61162
Indonesia,2014,1936
Israel,2014,617
Japan,2014,1653
Korea,2014,3182
Malaysia,2014,2969
Maldives,2014,47
Nepal,2014,376
Pakistan,2014,1291
China,2014,63363
Philippines,2014,1680
Singapore,2014,1849
Sri Lanka,2014,388
Taiwan,2014,1375
Thailand,2014,299
Vietnam,2014,480
Bahrain,2014,116
Iran,2014,545
Jordan,2014,168
Kuwait,2014,517
Lebanon,2014,358
Oman,2014,222
Qatar,2014,399
Saudi Arabia,2014,2390
